id,entity_id,entity_name,date,account_code,account_name,debit,credit,description,posted_by,is_anomaly,anomaly_type
JE-010000,SUB-0001,東洋エネルギーシステム株式会社,2025-12-27,3400,長期借入金,0.0,9289.0,通常仕訳_長期借入金_1,tanaka_m,False,
JE-010001,SUB-0001,東洋エネルギーシステム株式会社,2025-09-06,4100,売上高,0.0,1359.0,通常仕訳_売上高_2,tanaka_m,False,
JE-010002,SUB-0001,東洋エネルギーシステム株式会社,2025-11-27,5100,販売費,0.0,41074.0,通常仕訳_販売費_3,tanaka_m,False,
JE-010003,SUB-0001,東洋エネルギーシステム株式会社,2025-05-19,2100,有形固定資産,21451.0,0.0,通常仕訳_有形固定資産_4,suzuki_k,False,
JE-010004,SUB-0001,東洋エネルギーシステム株式会社,2025-02-07,2300,投資有価証券,400078.0,0.0,通常仕訳_投資有価証券_5,watanabe_a,False,
JE-010005,SUB-0001,東洋エネルギーシステム株式会社,2025-01-19,3300,未払費用,39987.0,0.0,通常仕訳_未払費用_6,system_batch,False,
JE-010006,SUB-0001,東洋エネルギーシステム株式会社,2025-10-07,6100,営業外収益,4189.0,0.0,通常仕訳_営業外収益_7,tanaka_m,False,
JE-010007,SUB-0001,東洋エネルギーシステム株式会社,2025-04-22,1400,前払費用,0.0,905.0,通常仕訳_前払費用_8,tanaka_m,False,
JE-010008,SUB-0001,東洋エネルギーシステム株式会社,2025-04-10,3500,退職給付引当金,0.0,75123.0,通常仕訳_退職給付引当金_9,tanaka_m,False,
JE-010009,SUB-0001,東洋エネルギーシステム株式会社,2025-01-01,1500,その他流動資産,0.0,11670.0,通常仕訳_その他流動資産_10,suzuki_k,False,
JE-010010,SUB-0001,東洋エネルギーシステム株式会社,2025-03-23,1400,前払費用,0.0,18996.0,通常仕訳_前払費用_11,tanaka_m,False,
JE-010011,SUB-0001,東洋エネルギーシステム株式会社,2025-03-02,3400,長期借入金,6521.0,0.0,通常仕訳_長期借入金_12,tanaka_m,False,
JE-010012,SUB-0001,東洋エネルギーシステム株式会社,2025-03-12,3100,買掛金,404.0,0.0,通常仕訳_買掛金_13,system_batch,False,
JE-010013,SUB-0001,東洋エネルギーシステム株式会社,2025-03-01,7200,特別損失,0.0,135467.0,通常仕訳_特別損失_14,system_batch,False,
JE-010014,SUB-0001,東洋エネルギーシステム株式会社,2025-10-18,2200,無形固定資産,0.0,57870.0,通常仕訳_無形固定資産_15,tanaka_m,False,
JE-010015,SUB-0001,東洋エネルギーシステム株式会社,2025-04-20,5200,一般管理費,0.0,34329.0,通常仕訳_一般管理費_16,system_batch,False,
JE-010016,SUB-0001,東洋エネルギーシステム株式会社,2025-02-03,3500,退職給付引当金,83121.0,0.0,通常仕訳_退職給付引当金_17,suzuki_k,False,
JE-010017,SUB-0001,東洋エネルギーシステム株式会社,2025-02-28,3400,長期借入金,1823.0,0.0,通常仕訳_長期借入金_18,suzuki_k,False,
JE-010018,SUB-0001,東洋エネルギーシステム株式会社,2025-04-21,2100,有形固定資産,0.0,1130034.0,通常仕訳_有形固定資産_19,system_batch,False,
JE-010019,SUB-0001,東洋エネルギーシステム株式会社,2025-09-30,3500,退職給付引当金,0.0,11646.0,通常仕訳_退職給付引当金_20,watanabe_a,False,
JE-010020,SUB-0001,東洋エネルギーシステム株式会社,2025-05-29,5100,販売費,0.0,45231.0,通常仕訳_販売費_21,tanaka_m,False,
JE-010021,SUB-0001,東洋エネルギーシステム株式会社,2025-03-29,3400,長期借入金,0.0,97963.0,通常仕訳_長期借入金_22,yamada_t,False,
JE-010022,SUB-0001,東洋エネルギーシステム株式会社,2025-06-16,3500,退職給付引当金,95.0,0.0,通常仕訳_退職給付引当金_23,yamada_t,False,
JE-010023,SUB-0001,東洋エネルギーシステム株式会社,2025-08-17,1500,その他流動資産,0.0,628290.0,通常仕訳_その他流動資産_24,watanabe_a,False,
JE-010024,SUB-0001,東洋エネルギーシステム株式会社,2025-02-06,3100,買掛金,24648.0,0.0,通常仕訳_買掛金_25,suzuki_k,False,
JE-010025,SUB-0001,東洋エネルギーシステム株式会社,2025-11-18,7100,特別利益,736.0,0.0,通常仕訳_特別利益_26,watanabe_a,False,
JE-010026,SUB-0001,東洋エネルギーシステム株式会社,2025-11-20,3200,短期借入金,0.0,10692.0,通常仕訳_短期借入金_27,watanabe_a,False,
JE-010027,SUB-0001,東洋エネルギーシステム株式会社,2025-05-22,3500,退職給付引当金,0.0,5175777.0,通常仕訳_退職給付引当金_28,watanabe_a,False,
JE-010028,SUB-0001,東洋エネルギーシステム株式会社,2025-04-27,1300,棚卸資産,0.0,13661.0,通常仕訳_棚卸資産_29,watanabe_a,False,
JE-010029,SUB-0001,東洋エネルギーシステム株式会社,2025-06-24,1200,売掛金,1277.0,0.0,通常仕訳_売掛金_30,tanaka_m,False,
JE-010030,SUB-0001,東洋エネルギーシステム株式会社,2025-07-06,3200,短期借入金,15838.0,0.0,通常仕訳_短期借入金_31,watanabe_a,False,
JE-010031,SUB-0001,東洋エネルギーシステム株式会社,2025-01-25,1100,現金及び預金,47607.0,0.0,通常仕訳_現金及び預金_32,yamada_t,False,
JE-010032,SUB-0001,東洋エネルギーシステム株式会社,2025-04-23,4100,売上高,0.0,6369.0,通常仕訳_売上高_33,suzuki_k,False,
JE-010033,SUB-0001,東洋エネルギーシステム株式会社,2025-12-11,2200,無形固定資産,6595.0,0.0,通常仕訳_無形固定資産_34,system_batch,False,
JE-010034,SUB-0001,東洋エネルギーシステム株式会社,2025-09-05,2100,有形固定資産,0.0,233784.0,通常仕訳_有形固定資産_35,watanabe_a,False,
JE-010035,SUB-0001,東洋エネルギーシステム株式会社,2025-11-04,1400,前払費用,0.0,116705.0,通常仕訳_前払費用_36,watanabe_a,False,
JE-010036,SUB-0001,東洋エネルギーシステム株式会社,2025-07-24,3200,短期借入金,0.0,21769.0,通常仕訳_短期借入金_37,system_batch,False,
JE-010037,SUB-0001,東洋エネルギーシステム株式会社,2025-01-23,3200,短期借入金,19186.0,0.0,通常仕訳_短期借入金_38,suzuki_k,False,
JE-010038,SUB-0001,東洋エネルギーシステム株式会社,2025-06-10,4200,売上原価,0.0,29517.0,通常仕訳_売上原価_39,watanabe_a,False,
JE-010039,SUB-0001,東洋エネルギーシステム株式会社,2025-03-07,6100,営業外収益,0.0,9258.0,通常仕訳_営業外収益_40,watanabe_a,False,
JE-010040,SUB-0001,東洋エネルギーシステム株式会社,2025-01-03,3500,退職給付引当金,21585.0,0.0,通常仕訳_退職給付引当金_41,watanabe_a,False,
JE-010041,SUB-0001,東洋エネルギーシステム株式会社,2025-10-31,3300,未払費用,0.0,28941.0,通常仕訳_未払費用_42,watanabe_a,False,
JE-010042,SUB-0001,東洋エネルギーシステム株式会社,2025-06-04,3400,長期借入金,0.0,422321.0,通常仕訳_長期借入金_43,system_batch,False,
JE-010043,SUB-0001,東洋エネルギーシステム株式会社,2025-09-26,1200,売掛金,0.0,2137.0,通常仕訳_売掛金_44,suzuki_k,False,
JE-010044,SUB-0001,東洋エネルギーシステム株式会社,2025-05-08,1200,売掛金,144361.0,0.0,通常仕訳_売掛金_45,system_batch,False,
JE-010045,SUB-0001,東洋エネルギーシステム株式会社,2025-04-03,4100,売上高,0.0,625048.0,通常仕訳_売上高_46,tanaka_m,False,
JE-010046,SUB-0001,東洋エネルギーシステム株式会社,2025-08-15,6200,営業外費用,3969.0,0.0,通常仕訳_営業外費用_47,watanabe_a,False,
JE-010047,SUB-0001,東洋エネルギーシステム株式会社,2025-11-12,6200,営業外費用,0.0,31951.0,通常仕訳_営業外費用_48,watanabe_a,False,
JE-010048,SUB-0001,東洋エネルギーシステム株式会社,2025-01-14,1300,棚卸資産,0.0,36447.0,通常仕訳_棚卸資産_49,system_batch,False,
JE-010049,SUB-0001,東洋エネルギーシステム株式会社,2025-09-13,5200,一般管理費,15924.0,0.0,通常仕訳_一般管理費_50,watanabe_a,False,
JE-010050,SUB-0001,東洋エネルギーシステム株式会社,2025-09-18,1100,現金及び預金,0.0,8463.0,通常仕訳_現金及び預金_51,suzuki_k,False,
JE-010051,SUB-0001,東洋エネルギーシステム株式会社,2025-09-10,2100,有形固定資産,2983.0,0.0,通常仕訳_有形固定資産_52,tanaka_m,False,
JE-010052,SUB-0001,東洋エネルギーシステム株式会社,2025-08-06,1300,棚卸資産,264.0,0.0,通常仕訳_棚卸資産_53,system_batch,False,
JE-010053,SUB-0001,東洋エネルギーシステム株式会社,2025-09-24,1500,その他流動資産,69446.0,0.0,通常仕訳_その他流動資産_54,yamada_t,False,
JE-010054,SUB-0001,東洋エネルギーシステム株式会社,2025-09-13,3200,短期借入金,0.0,32.0,通常仕訳_短期借入金_55,system_batch,False,
JE-010055,SUB-0001,東洋エネルギーシステム株式会社,2025-07-14,1500,その他流動資産,0.0,61049.0,通常仕訳_その他流動資産_56,suzuki_k,False,
JE-010056,SUB-0001,東洋エネルギーシステム株式会社,2025-04-22,3100,買掛金,137281.0,0.0,通常仕訳_買掛金_57,tanaka_m,False,
JE-010057,SUB-0001,東洋エネルギーシステム株式会社,2025-05-20,4200,売上原価,2791.0,0.0,通常仕訳_売上原価_58,watanabe_a,False,
JE-010058,SUB-0001,東洋エネルギーシステム株式会社,2025-03-26,3500,退職給付引当金,0.0,67892.0,通常仕訳_退職給付引当金_59,suzuki_k,False,
JE-010059,SUB-0001,東洋エネルギーシステム株式会社,2025-08-31,1400,前払費用,0.0,92054.0,通常仕訳_前払費用_60,watanabe_a,False,
JE-010060,SUB-0001,東洋エネルギーシステム株式会社,2025-02-13,4200,売上原価,92264.0,0.0,通常仕訳_売上原価_61,yamada_t,False,
JE-010061,SUB-0001,東洋エネルギーシステム株式会社,2025-04-21,1300,棚卸資産,9054.0,0.0,通常仕訳_棚卸資産_62,yamada_t,False,
JE-010062,SUB-0001,東洋エネルギーシステム株式会社,2025-11-06,3200,短期借入金,0.0,44384.0,通常仕訳_短期借入金_63,watanabe_a,False,
JE-010063,SUB-0001,東洋エネルギーシステム株式会社,2025-06-29,4200,売上原価,0.0,33023.0,通常仕訳_売上原価_64,suzuki_k,False,
JE-010064,SUB-0001,東洋エネルギーシステム株式会社,2025-10-30,1300,棚卸資産,4380.0,0.0,通常仕訳_棚卸資産_65,system_batch,False,
JE-010065,SUB-0001,東洋エネルギーシステム株式会社,2025-04-21,1200,売掛金,7684.0,0.0,通常仕訳_売掛金_66,suzuki_k,False,
JE-010066,SUB-0001,東洋エネルギーシステム株式会社,2025-08-10,1300,棚卸資産,0.0,80707.0,通常仕訳_棚卸資産_67,watanabe_a,False,
